Feature,Importance
Contract,0.22874488695033504
Monthly Charges,0.22298120261810478
Tenure,0.19407418322830106
Online Security,0.05589940618065057
Payment Method,0.05074115182388939
Tech Support,0.04824047063947826
Internet Service,0.03816802976943033
Paperless Billing,0.02250977775066453
Multiple Lines,0.021052326399658865
Online Backup,0.020761718124050463
Partner,0.020481170982065103
Dependents,0.016861606736052043
Device Protection,0.016620395185175836
Senior Citizen,0.01564015432885649
Streaming Movies,0.014363254608999941
Streaming TV,0.01286026467428735
